날짜,도시가스,전기료,지역난방비,취사용LPG,자동차용LPG
2010-07-01,108.539,104.51,102.513,99.288,123.411
2010-08-01,108.431,106.617,99.273,96.861,118.725
2010-09-01,114.46,106.617,99.273,93.27,113.558
2010-10-01,114.46,106.617,99.375,95.697,118.484
2010-11-01,109.417,106.617,99.375,95.308,117.523
2010-12-01,109.417,106.617,99.273,99.385,123.051
2011-01-01,114.46,106.617,99.273,107.246,134.827
2011-02-01,114.46,106.617,99.375,107.246,134.947
2011-03-01,114.46,106.617,98.464,107.343,134.827
2011-04-01,114.46,106.617,98.464,107.246,134.827
2011-05-01,119.723,106.617,98.464,107.343,134.827
2011-06-01,119.723,106.617,98.464,112.293,141.436
2011-07-01,119.723,106.617,98.566,110.255,138.792
2011-08-01,119.723,108.724,98.566,109.479,136.51
2011-09-01,119.723,108.724,105.244,109.284,136.51
2011-10-01,125.642,108.724,105.244,109.187,136.51
2011-11-01,125.533,108.724,105.346,107.829,133.746
2011-12-01,125.533,108.724,110.405,107.537,132.784
2012-01-01,125.555,108.714,110.517,107.314,132.64
2012-02-01,125.622,108.714,110.517,111.856,139.177
2012-03-01,125.686,108.714,110.841,116.059,144.68
2012-04-01,125.686,108.714,110.841,116.379,144.68
2012-05-01,125.708,108.714,110.841,117.961,148.322
2012-06-01,125.686,108.714,117.702,116.079,144.753
2012-07-01,131.519,108.714,117.711,111.614,137.41
2012-08-01,131.398,111.062,117.742,107.635,131.643
2012-09-01,131.398,111.062,117.985,107.722,131.606
2012-10-01,131.442,111.062,117.985,112.788,139.164
2012-11-01,131.442,111.062,117.985,112.798,139.201
2012-12-01,131.442,111.062,117.985,112.788,139.201
2013-01-01,131.442,113.297,117.985,112.71,139.201
2013-02-01,131.442,113.297,117.985,112.643,139.201
2013-03-01,136.792,113.297,117.985,112.254,137.916
2013-04-01,136.792,113.297,118.096,112.157,137.855
2013-05-01,136.759,113.297,118.096,110.265,134.322
2013-06-01,136.759,113.297,118.096,109.605,131.943
2013-07-01,136.75,113.297,123.784,109.556,131.919
2013-08-01,138.153,113.297,123.784,111.594,134.827
2013-09-01,138.229,113.297,123.794,111.429,134.803
2013-10-01,138.229,113.297,123.794,111.653,134.803
2013-11-01,138.251,116.362,123.794,111.556,134.755
2013-12-01,138.251,116.362,123.794,111.798,134.755
2014-01-01,145.717,116.362,123.794,117.379,142.037
2014-02-01,145.717,116.362,123.915,117.592,142.061
2014-03-01,145.717,116.362,123.956,117.67,141.989
2014-04-01,145.717,116.362,123.956,116.292,138.889
2014-05-01,145.717,116.362,123.956,116.292,138.721
2014-06-01,145.717,116.362,123.956,113.526,133.661
2014-07-01,144.423,116.362,123.956,113.496,133.397
2014-08-01,144.785,116.362,123.956,112.632,131.354
2014-09-01,144.785,116.362,123.956,111.032,128.242
2014-10-01,144.851,116.362,123.956,110.604,126.019
2014-11-01,144.84,116.362,123.956,109.76,124.444
2014-12-01,144.84,116.362,123.956,105.053,117.223
2015-01-01,136.791,116.261,123.956,102.133,112.121
2015-02-01,136.779,116.261,123.844,96.197,102.602
2015-03-01,125.338,116.261,123.844,95.899,102.132
2015-04-01,125.35,116.261,123.758,97.294,104.744
