날짜,예측_CPI_YoY
2025-03-01,3.1830633
2025-04-01,0.43675527
2025-05-01,0.08478793
2025-06-01,0.20718464
2025-07-01,-0.41008392
2025-08-01,-1.8333024
2025-09-01,-3.3279476
2025-10-01,-4.4803576
2025-11-01,-5.353174
2025-12-01,-6.1191874
2026-01-01,-6.863487
2026-02-01,-7.5539575
