Date,Total CPI,All items (non-food non-energy),Food and non-alcoholic beverages,"Housing, water, electricity, and fuel",Services less housing,Transportation,Miscellaneous goods and services,Education,Clothing and footwear,"Alcoholic beverages, tobacco and narcotics",Household goods and services,Energy,Recreation and culture,Restaurants and hotels,Health
2017-08-17,0.6893373675510244,0.7611418989400063,0.637794377651856,0.749982656085594,0.7083537494030017,0.2895926152634143,0.6803571557919597,0.8193831100974354,0.8434895801714299,0.9568219396064097,0.6382629566864098,0.2612447602189292,0.7640330769104882,0.6122657502811713,0.726460376908193
2017-08-18,0.6895359430332242,0.7608331362848624,0.6388871419499926,0.7500452868876151,0.7078605530148785,0.2907236150317516,0.6803858700547147,0.8194524805713623,0.8435769537166697,0.9568542622359799,0.6386787031586985,0.26217664435306887,0.7579403593444543,0.6120985905629861,0.7246480428487949
2017-08-19,0.6897345185154231,0.7605243736297185,0.6399799062481288,0.750107917689637,0.7073673566267562,0.2918546148000889,0.6804145843174698,0.8195218510452893,0.8436643272619087,0.9568865848655501,0.6390944496309872,0.263108528487209,0.7518476417784186,0.6119314308448005,0.7228357087893968
2017-08-20,0.6899330939976229,0.7602156109745746,0.641072670546265,0.7501705484916581,0.7068741602386321,0.2929856145684271,0.6804432985802258,0.8195912215192172,0.8437517008071493,0.9569189074951203,0.6395101961032759,0.26404041262134914,0.7457549242123847,0.6117642711266149,0.7210233747300006
2017-08-21,0.6901316694798227,0.7599068483194298,0.6421654348444017,0.7502331792936792,0.706380963850509,0.2941166143367644,0.6804720128429809,0.8196605919931441,0.8438390743523883,0.9569512301246905,0.6399259425755637,0.26497229675548883,0.739662206646349,0.6115971114084298,0.7192110406706025
2017-08-22,0.6903302449620217,0.759598085664285,0.6432581991425379,0.7502958100957002,0.7058877674623867,0.2952476141051017,0.680500727105736,0.8197299624670702,0.843926447897628,0.9569835527542607,0.6403416890478524,0.26590418088962897,0.7335694890803133,0.6114299516902442,0.7173987066112044
2017-08-23,0.6905288204442215,0.7592893230091411,0.6443509634406746,0.7503584408977213,0.7053945710742635,0.2963786138734399,0.680529441368491,0.8197993329409972,0.8440138214428679,0.9570158753838309,0.6407574355201411,0.2668360650237691,0.7274767715142794,0.611262791972059,0.7155863725518081
2017-08-24,0.6907273959264213,0.7589805603539972,0.6454437277388103,0.7504210716997424,0.7049013746861403,0.2975096136417772,0.6805581556312461,0.8198687034149241,0.8441011949881068,0.9570481980134011,0.6411731819924298,0.2677679491579088,0.7213840539482437,0.6110956322538734,0.7137740384924101
2017-08-25,0.6909259714086202,0.7586717976988533,0.646536492036947,0.7504837025017634,0.704408178298018,0.2986406134101154,0.6805868698940012,0.819938073888852,0.8441885685333474,0.9570805206429713,0.6415889284647185,0.26869983329204894,0.7152913363822115,0.6109284725356878,0.711961704433012
2017-08-26,0.69112454689082,0.7583630350437085,0.6476292563350836,0.7505463333037845,0.7039149819098949,0.2997716131784527,0.6806155841567563,0.8200074443627781,0.8442759420785864,0.9571128432725415,0.6420046749370063,0.26963171742618863,0.7091986188161759,0.6107613128175027,0.7101493703736157
2017-08-27,0.6913231223730198,0.7580542723885646,0.6487220206332194,0.7506089641058065,0.7034217855217717,0.30090261294679,0.6806442984195122,0.820076814836705,0.8443633156238262,0.9571451659021122,0.642420421409295,0.2705636015603283,0.7031059012501402,0.6105941530993171,0.7083370363142176
2017-08-28,0.6915216978552188,0.7577455097334207,0.649814784931356,0.7506715949078275,0.7029285891336494,0.3020336127151273,0.6806730126822673,0.820146185310632,0.8444506891690651,0.9571774885316824,0.6428361678815837,0.27149548569446846,0.6970131836841063,0.6104269933811315,0.7065247022548196
2017-08-29,0.6917202733374186,0.7574367470782768,0.6509075492294922,0.7507342257098486,0.7024353927455262,0.3031646124834664,0.6807017269450224,0.820215555784559,0.8445380627143049,0.9572098111612526,0.6432519143538724,0.27242736982860816,0.6909204661180706,0.6102598336629463,0.7047123681954233
2017-08-30,0.6919188488196184,0.757127984423132,0.6520003135276289,0.7507968565118697,0.7019421963574031,0.3042956122518037,0.6807304412077784,0.8202849262584868,0.8446254362595447,0.9572421337908228,0.6436676608261602,0.2733592539627483,0.6848277485520367,0.6100926739447612,0.7029000341360252
2017-08-31,0.6921174243018182,0.7568192217679881,0.6530930778257651,0.7508594873138907,0.7014489999692799,0.305426612020141,0.6807591554705335,0.8203542967324129,0.8447128098047845,0.957274456420393,0.6440834072984489,0.27429113809688843,0.678735030986001,0.6099255142265751,0.7010877000766271
2017-09-01,0.692315999784018,0.7565104591128442,0.6541858421239013,0.7509221181159118,0.7009558035811567,0.3065576117884783,0.6807878697332885,0.8204236672063399,0.8448001833500243,0.9573067790499632,0.6444991537707376,0.2752230222310281,0.6726423134199653,0.60975835450839,0.6992753660172291
2017-09-02,0.6921450042299018,0.7568671709342816,0.6519273783191015,0.7513068960688418,0.701348042896611,0.30839948736443645,0.6812354755491228,0.8204485269059187,0.8448001833500243,0.9571987883157838,0.6453441221074185,0.2763203587109966,0.6768002155110011,0.6100174520715775,0.6987313035960199
2017-09-03,0.6919740086757855,0.7572238827557181,0.6496689145143013,0.7516916740217718,0.7017402822120644,0.31024136294039373,0.6816830813649561,0.8204733866054976,0.8448001833500243,0.9570907975816043,0.6461890904440994,0.27741769519096504,0.680958117602037,0.6102765496347646,0.6981872411748089
2017-09-04,0.6918030131216701,0.7575805945771563,0.6474104507095015,0.7520764519747019,0.7021325215275196,0.312083238516351,0.6821306871807895,0.8204982463050765,0.8448001833500243,0.9569828068474244,0.6470340587807804,0.27851503167093306,0.6851160196930746,0.6105356471979522,0.6976431787535979
2017-09-05,0.6916320175675548,0.7579373063985928,0.6451519869047013,0.7524612299276319,0.702524760842973,0.3139251140923083,0.6825782929966238,0.8205231060046563,0.8448001833500243,0.956874816113245,0.6478790271174613,0.2796123681509015,0.6892739217841086,0.6107947447611397,0.697099116332387
2017-09-06,0.6914610220134385,0.7582940182200302,0.6428935230999016,0.7528460078805619,0.7029170001584273,0.31576698966826555,0.683025898812458,0.8205479657042352,0.8448001833500243,0.9567668253790655,0.6487239954541413,0.2807097046308695,0.6934318238751445,0.6110538423243268,0.6965550539111778
2017-09-07,0.6912900264593231,0.7586507300414675,0.6406350592951013,0.7532307858334919,0.7033092394738807,0.3176088652442237,0.6834735046282923,0.820572825403814,0.8448001833500243,0.9566588346448861,0.6495689637908222,0.281807041110838,0.6975897259661803,0.6113129398875143,0.6960109914899668
2017-09-08,0.6911190309052078,0.7590074418629049,0.6383765954903016,0.753615563786421,0.7037014787893359,0.319450740820181,0.6839211104441256,0.8205976851033929,0.8448001833500243,0.9565508439107067,0.6504139321275031,0.28290437759080644,0.7017476280572161,0.6115720374507023,0.6954669290687558
2017-09-09,0.6909480353510915,0.7593641536843423,0.6361181316855018,0.754000341739351,0.7040937181047893,0.32129261639613826,0.6843687162599599,0.8206225448029718,0.8448001833500243,0.9564428531765272,0.651258900464184,0.28400171407077446,0.705905530148252,0.6118311350138894,0.6949228666475449
2017-09-10,0.6907770397969761,0.7597208655057788,0.6338596678807016,0.7543851196922811,0.7044859574202436,0.32313449197209554,0.6848163220757941,0.8206474045025507,0.8448001833500243,0.9563348624423473,0.652103868800864,0.2850990505507429,0.7100634322392878,0.612090232577077,0.6943788042263357
2017-09-11,0.6906060442428608,0.760077577327217,0.6316012040759014,0.7547698976452102,0.704878196735697,0.3249763675480537,0.6852639278916275,0.8206722642021296,0.8448001833500243,0.9562268717081683,0.6529488371375449,0.2861963870307114,0.7142213343303236,0.6123493301402645,0.6938347418051247
2017-09-12,0.6904350486887445,0.7604342891486535,0.6293427402711016,0.7551546755981402,0.7052704360511521,0.326818243124011,0.6857115337074617,0.8206971239017085,0.8448001833500243,0.9561188809739884,0.6537938054742258,0.2872937235106794,0.7183792364213595,0.6126084277034516,0.6932906793839138
2017-09-13,0.6902640531346291,0.7607910009700909,0.6270842764663014,0.7555394535510702,0.7056626753666055,0.32866011869996825,0.6861591395232951,0.8207219836012873,0.8448001833500243,0.956010890239809,0.6546387738109067,0.28839105999064785,0.7225371385123953,0.6128675252666391,0.6927466169627028
