Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2010-01-01,0.0,0.0,0.004783997812006335,0.0038490822760595123,0.0,0.0,0.0,0.1996557475133196,1.0000000000000004,0.0,0.0,0.009955638795788424,0.10113490887002019,0.0,0.45764361095137573,0.0,0.0,0.0,0.0,0.011758501965745793,0.3846018801202056,0.0
2010-01-02,0.0002996051134927531,0.0007770270058162847,0.004783997812006335,0.0037249183316704956,0.00026803807505177037,0.0003849818075746355,0.00031116564064873157,0.19946214933233367,1.0000000000000004,0.0003941343421483073,0.00021792138779065708,0.010276776494382387,0.10140503937908597,0.00032990283458621933,0.45745309929107547,0.0003064679997779381,0.0003531407728208745,0.000494345186964734,0.0002538439960009099,0.012516297425388333,0.3845137391143546,0.0
2010-01-03,0.0005992102269855062,0.0015540540116325695,0.004783997812006335,0.0036007543872814793,0.0005360761501035407,0.000769963615149271,0.0006223312812974631,0.19926855115134773,1.0000000000000004,0.0007882686842966146,0.00043584277558131416,0.010597914192976348,0.10167516988815176,0.0006598056691724387,0.4572625876307752,0.0006129359995558762,0.000706281545641749,0.000988690373929468,0.0005076879920018198,0.013274092885030873,0.38442559810850363,0.0
2010-01-04,0.0008988153404782594,0.0023310810174488545,0.004783997812006335,0.0034765904428924626,0.0008041142251553111,0.0011549454227239063,0.0009334969219461948,0.1990749529703618,1.0000000000000004,0.0011824030264449218,0.0006537641633719713,0.010919051891570311,0.10194530039721754,0.000989708503758658,0.45707207597047494,0.0009194039993338143,0.0010594223184626234,0.0014830355608942021,0.0007615319880027297,0.01403188834467341,0.38433745710265266,0.0
2010-01-05,0.0011984204539710124,0.003108108023265139,0.004783997812006335,0.0033524264985034464,0.0010721523002070815,0.001539927230298542,0.0012446625625949263,0.19888135478937585,1.0000000000000004,0.001576537368593229,0.0008716855511626283,0.011240189590164273,0.10221543090628332,0.0013196113383448773,0.4568815643101747,0.0012258719991117524,0.001412563091283498,0.001977380747858936,0.0010153759840036396,0.01478968380431595,0.3842493160968017,0.0
2010-01-06,0.0014980255674637655,0.0038851350290814235,0.004783997812006335,0.0032282625541144297,0.0013401903752588518,0.0019249090378731775,0.0015558282032436578,0.19868775660838991,1.0000000000000004,0.001970671710741536,0.0010896069389532855,0.011561327288758236,0.1024855614153491,0.0016495141729310967,0.4566910526498744,0.0015323399988896905,0.0017657038641043727,0.00247172593482367,0.0012692199800045495,0.01554747926395849,0.3841611750909507,0.0
2010-01-07,0.0017976306809565188,0.004662162034897709,0.004783997812006335,0.003104098609725413,0.0016082284503106223,0.0023098908454478127,0.0018669938438923895,0.19849415842740398,1.0000000000000004,0.0023648060528898437,0.0013075283267439425,0.011882464987352197,0.10275569192441489,0.001979417007517316,0.45650054098957416,0.0018388079986676287,0.002118844636925247,0.0029660711217884043,0.0015230639760054595,0.016305274723601028,0.38407303408509974,0.0
2010-01-08,0.002097235794449272,0.0054391890407139935,0.004783997812006335,0.0029799346653363963,0.0018762665253623926,0.0026948726530224482,0.002178159484541121,0.19830056024641804,1.0000000000000004,0.002758940395038151,0.0015254497145345996,0.01220360268594616,0.10302582243348067,0.002309319842103535,0.4563100293292739,0.002145275998445567,0.0024719854097461215,0.0034604163087531385,0.0017769079720063694,0.017063070183243566,0.38398489307924877,0.0
2010-01-09,0.002396840907942025,0.006216216046530278,0.004783997812006335,0.00285577072094738,0.002144304600414163,0.003079854460597084,0.0024893251251898525,0.1981069620654321,1.0000000000000004,0.003153074737186458,0.0017433711023252566,0.012524740384540121,0.10329595294254645,0.0026392226766897547,0.45611951766897363,0.002451743998223505,0.002825126182566996,0.003954761495717872,0.0020307519680072793,0.017820865642886107,0.38389675207339774,0.0
2010-01-10,0.002696446021434778,0.0069932430523465625,0.004783997812006335,0.0027316067765583638,0.0024123426754659332,0.0034648362681717194,0.002800490765838584,0.19791336388444616,1.0000000000000004,0.0035472090793347653,0.001961292490115914,0.012845878083134084,0.10356608345161224,0.0029691255112759742,0.45592900600867337,0.0027582119980014428,0.0031782669553878707,0.004449106682682606,0.002284595964008189,0.01857866110252865,0.38380861106754677,0.0
