날짜,실제 YoY,예측 YoY
2009-02-01,-8.71501757059994,3.9333368924691894
2009-03-01,-7.587014725568935,10.96841136500062
2009-04-01,-7.009225719282824,11.677076168670869
2009-05-01,-12.887358583374336,14.060594400848931
2009-06-01,-14.371662173379661,10.705161127110536
2009-07-01,-14.73793836651744,11.230514623109336
2009-08-01,-6.641064432289852,9.24179493687718
2009-09-01,-1.9773965625959988,7.508678328349372
2009-10-01,-4.42167126404793,5.209952720616782
2009-11-01,9.7470566593083,6.481062197595386
2009-12-01,23.935059511380246,3.6655684778561053
2010-01-01,23.445296023867087,2.3789806642346125
2010-02-01,11.309518287988269,1.990494630370176
2010-03-01,10.425343135479665,6.401840011931996
2010-04-01,10.919463386370737,6.920848834234667
2010-05-01,11.968845509218198,9.010965020260112
2010-06-01,6.222279414918702,10.06502200373912
2010-07-01,5.237040995495818,9.6275495896579
2010-08-01,2.792205094112262,9.041011272454021
2010-09-01,1.098538580806931,9.135791668660438
2010-10-01,5.086110183353455,9.689509117009475
2010-11-01,3.7723040304399262,10.421839214278915
2010-12-01,7.527905311486464,10.5897336811421
2011-01-01,9.557898245760228,10.858994017689373
2011-02-01,11.099629151214629,10.222230803584079
2011-03-01,13.852927431190395,10.57891889643279
2011-04-01,11.495961747096885,7.520614646287794
2011-05-01,9.971423311213726,6.085126567749543
2011-06-01,9.261981295126716,4.453250009841888
2011-07-01,11.629387820900334,5.810037085805574
2011-08-01,13.359472897045151,4.744821789161783
2011-09-01,14.588363897409138,4.713025379651517
2011-10-01,16.281742021710087,4.992752024511912
2011-11-01,15.139155857791266,3.818872174394482
2011-12-01,9.565108389937407,4.140630633178148
2012-01-01,6.913679790665128,3.3481413521293275
2012-02-01,7.492836461286885,2.469234990574507
2012-03-01,5.355638290977453,2.5370666632837695
2012-04-01,7.048435923309796,0.5386514872172857
2012-05-01,7.189337914167609,1.1759949651797228
2012-06-01,5.880135416820664,-0.9690625066190863
2012-07-01,-0.9437300080148248,-4.03506669498413
2012-08-01,0.9941520467836398,-0.8012778369165683
2012-09-01,4.073554642727444,0.6431499924155952
2012-10-01,1.4689495188769683,-0.17402291555515514
2012-11-01,-1.1763220470949705,0.14309944058509783
2012-12-01,-0.14944583482302676,-1.1068504035348616
2013-01-01,-1.2194688124764355,-1.0079592110577829
2013-02-01,-1.8241069621710722,-2.0436371865528087
2013-03-01,-1.8967874231032198,-1.3101315999388206
2013-04-01,-5.255893185383698,-1.5275690903494166
2013-05-01,-7.06772329401538,-2.7841273805289477
2013-06-01,-4.287180346409215,-2.5983774449328494
2013-07-01,1.6809295409152298,-2.069542954831757
2013-08-01,-0.7668733317327394,-1.1025372129272673
2013-09-01,-4.631675433856159,-1.5586077580813562
2013-10-01,-5.272718482142238,-2.594246385666873
2013-11-01,-4.026659852646816,-2.5094433941075214
2013-12-01,-3.0556928122829135,-4.363287635576227
2014-01-01,-2.007361044087048,-4.5901549585279104
2014-02-01,-3.6122227039782757,-7.942170383312203
2014-03-01,-5.387214770945832,-11.822870446278738
2014-04-01,-3.777191872819145,-17.25331266495344
2014-05-01,-1.4511921550861189,-16.138633040581254
2014-06-01,-2.0145878920496045,-21.519764553305997
2014-07-01,-3.828176526252406,-21.72245482421865
2014-08-01,-5.248064442673353,-15.752763407082927
2014-09-01,-6.005680758582116,-12.624873203628383
2014-10-01,-6.132017003405053,-11.990976967744064
2014-11-01,-7.505935080206783,-13.556533684447626
2014-12-01,-10.84107731174376,-15.809688286947175
2015-01-01,-19.951195131273337,-14.748046817198173
2015-02-01,-23.537133038854932,-15.795425023174566
2015-03-01,-19.669644237920963,-14.451982778939982
2015-04-01,-19.484039646080447,-5.8313567256526735
2015-05-01,-17.2399475038371,-9.338632875336899
2015-06-01,-14.89005344727478,-10.842384628932223
2015-07-01,-15.000149084620432,-9.299867409135306
2015-08-01,-15.969598882488569,-10.704519921127229
2015-09-01,-16.601167537868662,-8.772427295851418
2015-10-01,-15.929904690886218,-8.997426653374447
2015-11-01,-14.925957909550306,-7.4212257381081885
2015-12-01,-14.083083398233597,-7.31918600602173
2016-01-01,-7.970029749880638,-4.370557338570149
2016-02-01,-5.5907569751854,-2.1681957036895376
2016-03-01,-10.849536591402881,1.3137664278638324
2016-04-01,-9.894787051560755,7.238228601100299
2016-05-01,-10.28078411697247,8.875204365340824
2016-06-01,-8.795207066952372,10.436595387193393
2016-07-01,-8.425926737935072,8.662668163634436
2016-08-01,-8.275165565873323,4.26171051237483
2016-09-01,-6.413212553756068,3.0330275064957086
2016-10-01,-5.235099001210372,0.9802520742657338
2016-11-01,-2.719061627677476,2.7639528355334217
2016-12-01,1.4001928640308563,2.3605089412662466
2017-01-01,8.932633595402478,4.612522807814374
2017-02-01,12.391206635884444,4.788529070058212
2017-03-01,12.3714626521882,4.356926798596765
2017-04-01,9.45943194543419,2.9191579550043496
2017-05-01,6.978160793281461,2.862271716200939
2017-06-01,1.5707860643082512,3.1395538427310696
2017-07-01,-0.3763610767948933,4.290830792806045
2017-08-01,2.6171684692585018,5.379987525264264
2017-09-01,4.803433677809181,7.482009399118932
2017-10-01,6.610442158631116,8.844804217577561
2017-11-01,6.507961044983773,10.01125061142497
2017-12-01,6.178674680462564,8.795285226885058
2018-01-01,2.8704628094631914,7.860929296456347
2018-02-01,2.986675392194286,2.595529645862228
2018-03-01,3.197320619698189,-4.23409690346379
2018-04-01,4.2140213165677665,-8.716889724317639
2018-05-01,6.349354516517451,-11.961120622227188
2018-06-01,9.905869690417973,-9.906615943620789
