날짜,예측_CPI_YoY
2025-03-01,1.1466253
2025-04-01,0.920267
2025-05-01,0.79847395
2025-06-01,0.7341231
2025-07-01,0.7030394
2025-08-01,0.6897541
2025-09-01,0.6852015
2025-10-01,0.6844717
2025-11-01,0.6851187
2025-12-01,0.68604696
2026-01-01,0.6868453
2026-02-01,0.6874143
