구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2010년08월26일,1972.56,1888.26,1876.64,1881.86,1864.54,1855.94,1875.90,1901.88,1893.20,1866.88,1888.97,1850.85,1829.80,1879.30,1888.58,,
2010년08월27일,1970.29,1887.32,1879.36,1880.41,1864.00,1855.08,1877.30,1900.96,1891.52,1868.55,1885.60,1850.85,1830.80,1873.72,1889.79,,
2010년08월28일,1970.87,1886.52,1879.57,1880.29,1861.50,1857.80,1877.30,1901.28,1895.92,1868.55,1885.48,1850.11,1830.80,1872.92,1891.32,,
2010년08월29일,1970.49,1885.79,1879.25,1877.97,1860.36,1857.27,1875.80,1901.53,1886.92,1873.00,1884.57,1849.00,1828.80,1876.26,1890.30,,
2010년08월30일,1970.40,1887.12,1880.60,1876.53,1861.00,1858.48,1874.80,1902.25,1886.92,1866.66,1883.36,1851.85,1830.80,1873.57,1889.62,,
2010년08월31일,1966.71,1885.67,1880.33,1876.09,1858.24,1854.05,1876.28,1898.36,1884.76,1864.72,1885.85,1849.50,1827.80,1871.23,1888.00,,
2010년09월01일,1964.64,1886.80,1878.47,1872.46,1857.03,1852.41,1873.42,1898.23,1883.88,1853.26,1882.79,1850.57,1825.80,1873.15,1888.16,,
2010년09월02일,1963.44,1885.39,1878.89,1870.97,1856.90,1852.30,1870.45,1897.18,1885.84,1852.73,1881.58,1848.78,1831.00,1872.76,1888.01,,
2010년09월03일,1964.27,1884.88,1878.46,1867.46,1855.71,1852.52,1873.63,1897.43,1886.61,1858.00,1882.08,1850.07,1836.55,1871.65,1886.25,,
2010년09월04일,1962.30,1884.05,1876.81,1870.00,1851.27,1852.47,1875.00,1897.57,1886.61,1852.21,1882.08,1849.35,1833.22,1879.32,1883.72,,
2010년09월05일,1963.48,1883.94,1877.16,1866.56,1852.48,1851.91,1872.61,1895.81,1885.28,1857.47,1882.08,1848.64,1831.00,1872.11,1883.39,,
2010년09월06일,1962.98,1882.68,1877.37,1869.84,1852.78,1850.52,1873.57,1896.31,1880.00,1862.73,1881.65,1848.64,1833.22,1872.92,1883.08,,
2010년09월07일,1970.86,1885.09,1878.82,1874.33,1847.62,1853.36,1873.95,1900.30,1886.22,1852.21,1887.00,1850.55,1828.77,1876.88,1884.84,,
2010년09월08일,1971.18,1884.54,1876.84,1876.82,1851.57,1851.52,1880.36,1901.02,1888.76,1857.47,1885.48,1848.82,1825.80,1874.28,1885.38,,
2010년09월09일,1970.79,1885.31,1875.90,1875.82,1850.96,1853.47,1886.57,1900.59,1885.76,1855.36,1879.85,1848.82,1823.00,1874.88,1884.85,,
2010년09월10일,1971.37,1885.96,1874.44,1873.42,1851.57,1852.25,1885.15,1899.56,1885.46,1852.21,1879.17,1848.10,1827.09,1876.08,1882.10,,
2010년09월11일,1971.45,1886.45,1870.09,1874.45,1851.57,1851.97,1883.23,1898.99,1885.48,1851.68,1881.63,1848.82,1823.45,1876.08,1880.39,,
2010년09월12일,1971.62,1885.64,1870.86,1874.92,1846.17,1851.97,1883.23,1899.10,1883.48,1856.94,1881.03,1848.10,1825.27,1874.29,1881.82,,
2010년09월13일,1970.40,1881.44,1875.01,1875.80,1847.60,1852.52,1882.00,1899.04,1884.92,1855.89,1881.63,1847.75,1823.45,1874.50,1881.12,,
2010년09월14일,1968.93,1882.20,1874.40,1872.52,1844.91,1855.18,1883.30,1897.60,1883.26,1849.57,1879.69,1846.03,1825.27,1883.45,1881.78,,
2010년09월15일,1968.17,1881.41,1872.21,1868.42,1846.08,1852.75,1880.80,1896.65,1882.68,1852.21,1884.41,1844.55,1823.91,1885.84,1882.72,,
2010년09월16일,1967.81,1880.72,1871.62,1868.68,1844.02,1854.10,1878.00,1895.94,1881.24,1854.31,1879.50,1845.53,1820.58,1884.64,1882.72,,
2010년09월17일,1967.91,1879.11,1871.42,1870.12,1842.08,1852.75,1876.89,1896.88,1882.84,1856.00,1878.22,1844.80,1824.36,1884.25,1883.47,,
2010년09월18일,1968.57,1879.45,1869.20,1870.07,1842.91,1850.32,1872.89,1896.36,1880.84,1861.26,1882.09,1844.42,1818.08,1885.84,1883.30,,
2010년09월19일,1968.15,1879.79,1868.18,1870.07,1841.80,1853.66,1877.63,1897.10,1883.87,1849.68,1882.71,1845.15,1822.25,1885.84,1883.64,,
2010년09월20일,1967.95,1880.25,1871.62,1872.51,1842.36,1853.27,1876.95,1896.33,1883.04,1852.84,1881.03,1845.15,1822.25,1884.42,1883.30,,
2010년09월21일,1968.22,1880.17,1872.12,1873.14,1846.24,1851.91,1876.25,1896.49,1884.92,1847.57,1882.97,1844.77,1822.25,1884.57,1883.94,,
2010년09월22일,1968.92,1881.01,1873.34,1871.78,1848.06,1853.40,1878.00,1896.43,1884.36,1848.63,1881.79,1845.51,1822.25,1884.57,1884.18,,
2010년09월23일,1969.76,1881.01,1872.42,1873.34,1847.15,1848.19,1878.95,1897.15,1886.07,1850.21,1880.54,1839.60,1817.46,1884.15,1884.37,,
2010년09월24일,1969.96,1880.94,1869.57,1870.14,1850.93,1849.02,1877.04,1896.42,1883.38,1850.21,1877.61,1839.60,1815.92,1883.00,1883.45,,
2010년09월25일,1969.75,1880.43,1867.92,1872.04,1852.00,1852.32,1878.95,1897.26,1884.92,1849.15,1876.73,1837.82,1813.92,1888.16,1882.22,,
2010년09월26일,1970.08,1879.98,1867.12,1872.04,1850.48,1852.32,1876.57,1896.69,1884.15,1855.47,1876.73,1837.82,1815.92,1887.84,1881.52,,
2010년09월27일,1969.76,1880.21,1867.46,1869.19,1848.97,1850.43,1876.57,1896.94,1881.07,1850.21,1876.06,1838.53,1819.00,1888.42,1883.05,,
2010년09월28일,1966.57,1879.08,1871.92,1867.28,1849.97,1847.27,1878.85,1895.87,1883.03,1847.57,1874.30,1837.35,1816.27,1885.96,1883.27,,
2010년09월29일,1966.03,1877.29,1872.10,1867.39,1848.86,1848.75,1875.90,1894.79,1879.61,1852.31,1873.69,1837.35,1816.27,1883.92,1882.75,,
2010년09월30일,1964.61,1875.36,1871.14,1867.02,1847.24,1846.97,1875.42,1893.45,1882.30,1845.47,1874.91,1837.35,1814.45,1884.29,1882.00,,
2010년10월01일,1963.95,1875.20,1868.58,1870.41,1845.89,1845.40,1871.61,1893.52,1875.80,1851.52,1872.61,1837.35,1812.63,1884.84,1881.37,,
2010년10월02일,1963.80,1874.51,1864.15,1869.19,1846.91,1846.45,1870.47,1893.32,1879.74,1857.31,1872.38,1837.03,1818.00,1886.14,1881.87,,
2010년10월03일,1963.60,1875.20,1863.66,1870.41,1847.71,1847.00,1872.38,1893.07,1883.44,1846.26,1871.84,1836.34,1816.18,1886.14,1880.50,,
2010년10월04일,1963.97,1874.44,1866.23,1869.68,1847.75,1842.44,1870.47,1891.68,1881.96,1844.15,1871.24,1837.03,1816.18,1881.80,1880.94,,
2010년10월05일,1966.11,1871.86,1864.47,1868.82,1845.25,1843.83,1873.65,1892.56,1881.22,1851.89,1870.69,1836.24,1816.18,1878.96,1879.17,,
2010년10월06일,1966.51,1871.94,1865.29,1865.04,1844.00,1841.25,1870.60,1892.49,1884.88,1851.89,1870.18,1834.51,1819.81,1882.92,1878.82,,
2010년10월07일,1967.13,1870.86,1863.80,1869.14,1844.81,1840.41,1873.45,1892.99,1883.73,1851.89,1870.96,1834.75,1818.00,1882.92,1878.75,,
