구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년05월20일,1392.23,1344.86,1341.26,1363.43,1310.89,1344.91,1360.53,1351.24,1324.84,1338.45,1320.69,1300.98,1318.12,1342.27,1338.05,1365.51,
2008년05월21일,1408.84,1365.66,1355.73,1382.67,1321.64,1356.68,1368.14,1366.23,1353.37,1354.22,1336.51,1319.31,1337.62,1349.92,1356.42,1442.50,
2008년05월22일,1465.41,1408.66,1399.03,1439.60,1339.85,1397.92,1431.30,1420.57,1397.81,1389.81,1376.84,1373.55,1352.78,1380.59,1393.85,1442.40,
2008년05월23일,1483.89,1440.43,1410.17,1448.82,1370.35,1413.31,1441.16,1437.07,1399.23,1413.68,1397.20,1386.22,1381.35,1411.04,1421.23,1457.04,
2008년05월24일,1483.90,1429.77,1430.94,1450.67,1394.24,1436.10,1451.73,1447.49,1410.28,1420.41,1411.82,1394.03,1404.97,1426.16,1424.88,1447.43,
2008년05월25일,1483.70,1448.21,1443.71,1459.55,1418.50,1426.24,1453.65,1448.29,1415.01,1430.19,1417.28,1392.61,1413.91,1421.07,1436.31,1450.88,
2008년05월26일,1485.79,1446.25,1436.69,1449.86,1409.20,1435.38,1452.26,1447.69,1415.46,1435.22,1413.56,1394.79,1419.36,1429.51,1435.08,1500.24,
2008년05월27일,1489.93,1451.43,1442.60,1452.85,1417.60,1449.00,1451.71,1450.59,1423.43,1426.58,1424.03,1397.92,1430.59,1437.23,1438.95,1503.00,
2008년05월28일,1507.58,1457.33,1457.38,1463.86,1417.17,1462.25,1481.25,1455.83,1438.01,1434.69,1430.31,1410.79,1426.45,1446.40,1447.13,1490.50,
2008년05월29일,1532.88,1493.13,1492.60,1527.78,1436.71,1492.50,1498.48,1492.46,1460.95,1467.81,1447.80,1428.44,1438.08,1472.41,1471.37,1492.62,
2008년05월30일,1554.54,1524.22,1491.62,1529.48,1462.16,1496.10,1505.76,1516.91,1478.10,1487.28,1471.38,1438.42,1460.63,1477.22,1494.86,1548.71,
2008년05월31일,1566.16,1534.12,1503.84,1542.25,1449.23,1488.25,1526.34,1524.18,1486.26,1497.66,1477.50,1440.89,1470.00,1491.21,1505.80,1561.04,
2008년06월01일,1550.85,1533.53,1507.84,1548.76,1462.40,1502.34,1531.63,1523.93,1496.48,1491.15,1485.00,1436.14,1480.62,1503.69,1510.48,1548.07,
2008년06월02일,1579.58,1544.90,1515.64,1540.41,1480.06,1509.57,1530.54,1536.71,1496.31,1515.15,1495.69,1447.17,1473.16,1506.69,1517.07,1551.86,
2008년06월03일,1575.34,1539.64,1519.76,1552.84,1488.20,1512.41,1538.25,1533.02,1496.66,1503.50,1496.98,1458.08,1500.28,1511.25,1517.53,1557.00,
2008년06월04일,1571.28,1541.22,1521.49,1553.21,1491.09,1518.28,1533.95,1535.38,1497.21,1504.46,1505.81,1460.44,1495.18,1513.73,1520.98,1548.54,
2008년06월05일,1563.28,1528.86,1522.33,1546.43,1501.16,1510.51,1533.92,1529.57,1502.89,1512.33,1500.06,1474.70,1511.43,1519.52,1523.32,1558.54,
2008년06월06일,1560.33,1527.90,1517.40,1537.96,1492.52,1517.19,1536.40,1528.29,1499.25,1508.81,1500.06,1478.69,1506.82,1522.89,1525.34,1553.81,
2008년06월07일,1560.25,1529.83,1521.59,1541.65,1495.91,1509.58,1539.23,1526.44,1500.78,1509.22,1498.86,1479.00,1517.43,1516.46,1524.42,1562.07,
2008년06월08일,1556.65,1532.31,1522.87,1540.65,1507.88,1523.42,1532.31,1524.67,1498.19,1510.95,1504.87,1481.01,1515.41,1519.10,1520.17,1562.27,
2008년06월09일,1559.55,1527.09,1518.28,1539.36,1494.50,1519.39,1535.76,1525.29,1501.11,1507.70,1500.97,1482.44,1508.07,1523.28,1520.05,1520.48,
2008년06월10일,1557.98,1526.00,1517.43,1540.60,1502.41,1511.38,1537.86,1529.00,1501.27,1511.77,1500.15,1490.88,1513.08,1524.68,1517.88,1523.17,
2008년06월11일,1556.00,1527.71,1523.60,1547.91,1498.18,1523.33,1537.66,1528.49,1499.26,1503.95,1500.86,1486.10,1513.63,1523.59,1518.54,1516.27,
2008년06월12일,1537.80,1512.60,1514.85,1526.28,1493.17,1510.06,1523.57,1514.34,1504.39,1501.01,1496.95,1489.10,1506.52,1522.49,1515.27,1516.00,
2008년06월13일,1536.14,1513.20,1512.44,1531.07,1492.65,1514.86,1531.48,1513.44,1493.59,1516.14,1492.97,1490.89,1514.29,1520.04,1520.03,1518.12,
2008년06월14일,1528.51,1519.25,1514.70,1519.18,1500.18,1505.13,1530.18,1512.67,1502.42,1511.23,1498.09,1484.08,1509.89,1523.12,1516.24,1512.08,
2008년06월15일,1536.54,1511.78,1507.94,1517.36,1498.80,1505.32,1537.94,1512.96,1503.69,1502.96,1497.29,1488.44,1518.41,1520.53,1516.53,1517.44,
2008년06월16일,1534.01,1515.25,1513.53,1523.94,1500.57,1513.38,1519.74,1511.40,1497.00,1502.38,1494.95,1481.34,1513.84,1519.65,1516.75,1513.00,
2008년06월17일,1529.34,1516.08,1515.26,1524.36,1502.64,1508.02,1534.31,1514.37,1502.46,1511.94,1492.86,1489.27,1507.13,1520.23,1516.76,1499.09,
2008년06월18일,1541.14,1515.83,1512.00,1524.44,1497.00,1507.52,1516.11,1516.80,1500.45,1507.92,1489.79,1492.30,1506.13,1523.26,1514.02,1496.22,
2008년06월19일,1547.83,1518.55,1514.43,1532.77,1496.04,1514.70,1520.58,1518.70,1498.88,1508.33,1491.87,1491.17,1508.33,1522.97,1515.68,1492.84,
2008년06월20일,1545.47,1518.86,1516.94,1527.82,1497.13,1515.67,1524.44,1521.82,1497.57,1514.27,1495.86,1493.77,1517.02,1521.93,1519.44,1497.15,
2008년06월21일,1546.94,1523.39,1515.78,1531.07,1502.65,1515.83,1532.40,1523.17,1502.48,1512.26,1496.06,1488.74,1514.06,1519.88,1517.23,1496.55,
2008년06월22일,1545.08,1518.13,1516.81,1539.43,1500.91,1507.31,1529.27,1521.06,1499.94,1516.09,1492.22,1489.17,1513.93,1521.73,1519.10,1489.80,
2008년06월23일,1550.54,1518.81,1514.40,1532.84,1495.15,1517.52,1531.59,1519.38,1494.11,1508.30,1498.92,1488.09,1508.07,1521.06,1518.15,1490.06,
2008년06월24일,1545.94,1518.26,1515.77,1535.79,1501.47,1515.02,1523.00,1518.56,1493.80,1518.76,1494.16,1490.08,1515.46,1520.60,1515.56,1496.78,
2008년06월25일,1547.84,1517.25,1514.98,1533.82,1495.18,1521.91,1528.62,1523.24,1501.86,1507.22,1494.26,1489.07,1508.01,1517.93,1517.40,1491.10,
2008년06월26일,1551.63,1520.18,1523.97,1533.26,1492.87,1517.40,1525.97,1522.11,1496.60,1507.04,1495.51,1486.30,1509.80,1519.41,1512.49,1488.39,
2008년06월27일,1551.92,1513.92,1518.44,1537.88,1502.20,1518.81,1526.91,1523.49,1504.38,1509.90,1496.88,1489.32,1505.32,1519.73,1515.10,1498.46,
2008년06월28일,1551.92,1510.03,1516.53,1538.54,1502.47,1519.64,1526.77,1523.03,1503.68,1514.02,1495.97,1489.01,1511.15,1520.75,1518.14,1491.69,
2008년06월29일,1551.78,1522.44,1514.37,1532.25,1496.91,1515.37,1529.87,1520.24,1503.96,1508.66,1495.45,1484.95,1508.93,1521.57,1516.32,1488.90,
2008년06월30일,1554.62,1524.89,1514.33,1533.83,1502.26,1510.50,1527.06,1517.66,1499.31,1508.14,1497.22,1482.82,1509.11,1523.87,1514.57,1497.03,
2008년07월01일,1551.11,1519.19,1516.75,1531.15,1488.94,1515.89,1530.27,1521.24,1503.81,1498.37,1498.71,1486.44,1509.51,1520.29,1515.93,1491.31,
2008년07월02일,1552.08,1529.45,1520.90,1531.09,1496.80,1518.02,1525.48,1522.37,1503.23,1510.85,1494.32,1489.97,1505.76,1520.23,1516.55,1513.45,
2008년07월03일,1564.33,1524.04,1522.47,1536.73,1501.88,1515.87,1519.68,1524.95,1505.68,1508.04,1499.64,1484.38,1507.14,1519.70,1521.23,1502.50,
2008년07월04일,1567.36,1524.80,1520.99,1541.78,1494.94,1515.94,1529.44,1532.90,1501.47,1511.46,1497.47,1491.43,1511.35,1523.67,1519.81,1506.56,
2008년07월05일,1568.56,1524.44,1521.07,1544.81,1500.73,1516.11,1530.22,1528.86,1508.31,1513.76,1502.38,1492.60,1513.97,1522.04,1521.59,1504.56,
2008년07월06일,1564.69,1527.90,1517.32,1542.15,1499.54,1511.30,1543.92,1533.53,1507.00,1515.35,1502.90,1487.92,1497.88,1520.90,1524.45,1501.31,
2008년07월07일,1570.98,1529.22,1524.13,1536.98,1498.87,1520.98,1537.52,1532.94,1505.92,1511.14,1502.51,1487.63,1508.95,1521.68,1517.19,1509.71,
2008년07월08일,1567.75,1532.41,1524.45,1543.04,1497.63,1531.95,1534.63,1533.53,1505.41,1511.91,1508.38,1488.32,1516.25,1527.02,1529.33,1570.27,
2008년07월09일,1576.54,1530.77,1528.68,1551.89,1516.87,1537.62,1536.85,1539.87,1513.55,1523.84,1517.60,1500.40,1526.61,1529.76,1527.29,1570.72,
2008년07월10일,1613.44,1547.63,1542.40,1564.80,1515.66,1538.72,1539.66,1569.36,1531.50,1527.92,1523.78,1503.48,1521.13,1531.08,1539.87,1574.68,
2008년07월11일,1623.61,1559.71,1550.11,1590.03,1518.19,1555.37,1559.48,1574.80,1535.51,1529.92,1529.28,1507.79,1533.16,1531.38,1541.69,1576.30,
