date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2000-01-01,65.8395493050791,54.81991,46.8821,64.72105,62.374019999999994,74.90024,71.00135,69.02402,137.4397,96.14568,56.41197,66.56626999999999,61.96885,68.44451,65.22345,66.79987,66.91338,66.04316,67.92511999999999,49.68468,57.44686,55.961659999999995
2000-02-01,66.040896716333,55.311730000000004,46.78901,64.78505,62.69315,74.60204,70.92761999999999,68.884,137.3092,96.91509,56.58831,66.76744000000001,62.03199,68.5831,65.69733000000001,67.07211,67.25523000000001,66.04316,68.06067,50.40441,58.35193,56.077119999999994
2000-03-01,66.3729618186626,55.03913000000001,46.6504,64.78505,62.884209999999996,74.37785,71.00135,68.95401,137.3092,96.91509,59.1729,66.90080999999999,62.09401999999999,69.06763000000001,65.62886999999999,67.75164000000001,68.14405,66.17545,68.13051999999999,51.383390000000006,58.35193,56.306869999999996
2000-04-01,66.1062555618708,54.00552,46.51075,64.72105,62.82121,74.15474,71.95983000000001,68.52797,136.3913,96.43382,59.28978000000001,66.96861,62.09401999999999,69.13745,64.7478,67.88883,68.28079,66.37606,68.26711,51.58955,57.627880000000005,56.478880000000004
2000-05-01,65.7731362846132,53.08095,46.55627,64.91619,62.757180000000005,74.30275999999999,72.03356,68.66998000000001,128.5297,96.53088000000001,59.28978000000001,67.03529,61.96885,68.93009,64.40906,67.61551999999999,67.8022,66.37606,68.33489,51.6414,57.20608000000001,56.59316
2000-06-01,66.1062555618708,53.13547,46.46317,65.37465999999999,63.522459999999995,74.52802,71.95983000000001,70.08713,129.4476,96.43382,59.11549,67.03529,61.96885,68.99886,67.32523,67.75164000000001,67.93894,66.64171999999999,68.47148,51.58955,59.55925,57.97161
2000-07-01,66.3729618186626,53.73291999999999,46.41766,65.4397,63.586490000000005,74.52802,72.54966999999999,70.65318,129.1848,96.14568,59.11549,67.16978,61.90681,69.27604000000001,67.25676999999999,67.95636,68.21136,66.70895,68.54134,51.5377,59.61987,58.1448
2000-08-01,66.7050269209922,54.276990000000005,46.55627,65.5058,63.90355,74.75114,74.46663000000001,72.21334,127.2204,95.85752,59.11549,67.23647,62.15606,69.41356999999999,68.6126,68.2286,68.55428,66.77618000000001,68.67896999999999,51.58955,60.58471,58.20253
2000-09-01,67.5705045369054,56.83375,46.51075,65.5058,64.28568,74.82623000000001,77.19462,73.34646,127.4822,95.76146999999999,59.23236,67.30315,62.218090000000004,69.75950999999999,69.96934,68.56944,69.03286999999999,66.97570999999999,68.81557,51.95004,61.55039,58.37455
2000-10-01,67.5040915164394,55.69223,46.41766,66.42065,64.79587,74.67712,77.19462,73.48947,127.3508,95.56836,59.28978000000001,67.37206,62.15606,69.82933,70.98643,68.70555999999999,69.10124,67.04185,68.95215999999999,52.00065,63.18036,58.43345
2000-11-01,67.1045592187158,53.406940000000006,46.41766,65.57085,65.30605,74.75114,77.19462,73.06243,127.3508,95.56836,59.28978000000001,67.43764,62.03199,69.82933,71.25583,68.9092,69.37472,67.24138,69.15861,52.00065,64.80948000000001,58.43345
2000-12-01,67.3702113005795,53.461459999999995,46.46317,66.81302,65.81624000000001,74.82623000000001,77.2673,73.63049000000001,127.2204,95.37727,59.28978000000001,67.43764,62.65234,70.03668,72.47742,69.18144000000001,69.6482,67.44199,69.43283000000001,52.51545,66.0151,58.43345
2001-01-01,68.1039170504888,54.875569999999996,49.023309999999995,66.87807,66.07133,75.12443,82.28194,73.41846,127.089,95.85752,59.525580000000005,67.43764,64.01933000000001,70.66086,72.47742,69.79345,70.46758,67.64151,69.63719,52.77346,66.37798000000001,58.43345
